X,Y,ObjectId,Stembureaus,Adres,Postcode,Plaats,Extra_Info
6.5858267,53.0181452370001,1,Marsdijkhal,Kleuvenstee 3,9403 LT,Assen,Sporthal
6.56144257,53.0169402540001,2,Peelohal,Scharmbarg 31,9407 EA,Assen,Sporthal
6.54826521200005,53.0090256,3,Pittelohal,Wethouder Bergerweg 2B,9406 XP,Assen,Sporthal
6.54278143600004,53.008773053,4,MFA Pittelo,Amstelstraat 14 ,9406 TH,Assen,Sporthal
6.55966183500004,53.0047445430001,5,Olympus,mr. Groen van Prinstererlaan 100,9402 KG,Assen,Sporthal
6.56155580900003,53.002919467,6,De Timp,Thorbeckelaan 2,9402 ER,Assen,Sporthal
6.50644923800007,53.0046612690001,7,MFA de Boomgaard,Boomgaard 5,9408 JA,Assen,Sporthal
6.52919780700006,52.9875304610001,8,MFA Schakelveld,Witterhoofdweg 1,9405 HX,Assen,Sporthal
6.54447919100005,52.9836776770001,9,Stadsbroekhal,Kortbossen 3,9405 BM,Assen,Sporthal
6.57778250300004,52.988560471,10,MFA de Orchidee,Tuinstraat 5A,9405 BM,Assen,Sporthal
6.60392289400005,53.011357027,11,Sportcomplex Marsdiek,Peeloërweg 3,9409 TS,Loon,Sporthal
6.53718944900004,52.996398137,12,Rode Kruisgebouw,Delft 73,9406 GD,Assen,Overig
6.56323872800004,53.008411961,13,De Componist,Paganinilaan 15,9402 VH,Assen,Overig
6.5626069,53.017009698,14,t Markehuus,Scharmbarg 35,9407 EA,Assen,Overig
6.57180034,53.0169549230001,15,Korfbal- en tennisvereniging AVO,M.L. Kingweg 6,9403PA,Assen,Overig
6.58654109,53.0186503300001,16,De Dissel,Kleuvenstee 1 A,9403 LR,Assen,Overig
6.59325298300007,52.998964173,17,Sportpark Asser Boys,Lonerstraat 100 A,9403 TD,Assen,Overig
6.57429345300005,52.9941841,18,De Schulp,Buizerdstraat 10,9404 BB,Assen,Overig
6.57618390700003,52.984872727,19,Buurthuis de Zonnereep,Zonnedauwstraat 14,9404 JR,Assen,Overig
6.51426352,53.000355025,20,MFA Kloosterveste,Vesteplein 5,9408 ME,Assen,Overig
6.50453808100002,53.0044994150001,21,Het Lichtpunt,Boomgaard 7,9408 JA,Assen,Overig
6.55884099500003,52.994586892,22,De Nieuwe Kolk,Weiersstraat 1,9401 ET,Assen,Overig
6.56506707300002,52.9946363870001,23,Stadhuis,Noordersingel 33,9401 JW,Assen,Overig
6.53885686200005,52.985669595,24,Provinciehuis,Westerbrink 1,9405 BJ,Assen,Overig
6.58811185800005,53.0107709640001,25,Pand 17,Stelmakerstraat 17,9403 VB,Assen,Overig
6.52333533700005,52.9991997050001,26,Ijsvereniging Kloosterveen,Hoogspanningsweg 2,9408CZ,Assen,Overig
6.58383331600004,52.9885886110001,27,De Spreng,Vredeveldseweg 57,9404 CC,Assen,Sporthal
6.56953378900005,52.9998194510001,28,Drenthe College,Anne de Vriesstraat 70,9402 NT,Assen,Overig
