X,Y,OBJECTID,NUMMER,LOCATIE,NAAM,OPMERKING,STRAATNAAM,HUISNUMMER,HUISLETTER,TOEVOEGING,POSTCODE,WOONPLAATS,OPENINGSTIJDEN,URL
4.83149024858043,51.6171438400488,4017,104,"Arnold Janssenlaan 46, Teteringen",Park Zuiderhout, ,Arnold Janssenlaan,46, , ,4847DK,Teteringen,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73663370335005,51.6261829059532,4018,95,"'t Blok 175, Breda",Basisschool Kievitsloop, ,'t Blok,175, , ,4823JJ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77307090789838,51.5738179905798,4019,55,"Cimburgalaan 107, Breda",Scoutinggebouw De Mokkenboom, ,Cimburgalaan,107, , ,4819BB,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74938896017883,51.5887329190804,4020,77,"Wegedoornpage 2, Breda",Café-Zalencentrum Het Witte Schaap, ,Wegedoornpage,2, , ,4814TZ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74604341116197,51.6210265103144,4021,93,"Tweeschaar 12, Breda",Sociaal Cultureel Centrum 't Kraaienest, ,Tweeschaar,12, , ,4822AT,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77524884311342,51.5789203220175,4022,60,"Jan Nieuwenhuyzenstraat 9, Breda",Gymzaal Jan Nieuwenhuyzenstraat, ,Jan Nieuwenhuyzenstraat,9, , ,4818RH,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.76421864388969,51.5744251930756,4023,57,"Zaart 35, Breda",Verpleeghuis Aeneas, ,Zaart,35, , ,4819ED,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.80857112638931,51.570730884077,4024,44,"Stoutenburgstraat 26, Breda",Basisschool De Burchtgaarde, ,Stoutenburgstraat,26, , ,4834LP,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.76336949636864,51.5847023701149,4025,67,"Weerijssingel 1, Breda",De Weerijs, ,Weerijssingel,1, , ,4814EP,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77632651949116,51.5887263482073,4026,1,"Grote Markt 38, Breda",Stadhuis, ,Grote Markt,38, , ,4811XS,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79669400954974,51.5991842561552,4027,12,"Baliëndijk 78, Breda",Basisschool De Liniedoorn, ,Baliëndijk,78, , ,4816GG,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74447483561779,51.6135391340532,4028,88,"Blokmoeren 28 A, Breda",Nutsbasisschool De Hoogakker, ,Blokmoeren,28,A, ,4824JN,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
