,objectid,name,description,icon_color,pic_url,thumb_url,stembureau
0,2,"Gemeente Delft stadhuis, Markt 87",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/2/attachments/9,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/2/attachments/10,  stadhuis
1,3,"Boekhandel Paagman, Choorstraat 1",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/3/attachments/157,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/3/attachments/158,Boekhandel Paagman
2,4,Jenaplanschool De Oostpoort,test,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/4/attachments/11,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/4/attachments/12,Jenaplanschool De Oostpoort
3,5,"Rietveld theater, Rietveld 49",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/5/attachments/149,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/5/attachments/150,Rietveld theater
4,7,"Gemeente Delft ""Klant Contact Centrum"", Stationsplein 1",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/7/attachments/129,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/7/attachments/130,"  ""Klant Contact Centrum"""
5,8,Hoogheemraadschap Delfland,Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/8/attachments/133,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/8/attachments/134,Hoogheemraadschap Delfland
6,9,"Informatiecentrum Delft Bouwt, Crommelinplein 1",Stembureau is open van 7:30 tot 21:00 uur.  Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/9/attachments/21,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/9/attachments/22,Informatiecentrum Delft Bouwt
7,10,"Aventurijn, Tuindersvaart 48",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/10/attachments/183,https://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/10/attachments/184,Aventurijn
8,11,"Wijkcentrum De Parel, van Beresteynstraat 99","Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!
",r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/11/attachments/25,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/11/attachments/26,Wijkcentrum De Parel
9,12,"Basisschool Het Mozaïek, van Alkemadestraat 2",Stembureau is open van 7:30 tot 21:00 uur. Denk aan uw stempas en identiteitsbewijs!,r,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/12/attachments/27,http://services3.arcgis.com/j07voPd56xoB4c87/arcgis/rest/services/Stemlokalen_gemeente_Delft/FeatureServer/0/12/attachments/28,Basisschool Het Mozaïek
