bagID_stemburo,50PLUS,Aan. & Een.,Actief,Ad Bos Collectief,Al.V&D,Amersfoort 2014,Amersfoort Anders,Anti Euro Partij,Anti Europa Partij,Artikel 1,Artikel 50,Belangen Gemeenschap,Blanco lijst Chel,Burger Partij Amersfoort,Christen Democratisch Appél,ChristenUnie,ChristenUnie-Staatkundig Gereformeerde Partij,Continue Directe Democratie Partij,DENK,De Burger Beweging,De Conservatieven.nl,De Groenen,Democraten 66,Democratisch Europa,Democratisch Politiek Keerpunt,Eerlijk.EU,Europa Transparant,Europa Voordelig! & Duurzaam,Europese Klokkenluiders Partij,EénNL,Forum voor Democratie,GeenPeil,GroenLinks,Hart voor Amersfoort,Heel NL,IQ-Partij,Islam Democraten,Jezus Leeft,Jouw Amersfoort,Leefbaar Amersfoort,Leefbaar Europa,Leefbaar Nederland,Leefbaar Provincie Utrecht,Liberaal Democratische Partij,Liberale Partij,Libertarische Partij,Libertas,Lijst 14,Lijst Lashkari,Lijst Pim Fortuyn,Lijst Ratelband,Lijst Özcan,MenS en Spirit / Basisinkomen Partij / V-R,Mooi Utrecht,Nederland Duurzaam,Nederland Lokaal,Nederland Transparant,Nederlandse Middenstands Partij,Newropeans,Niet Stemmers,Nieuw Nederland,Nieuw Rechts,Nieuwe Communistische Partij-NCPN,Nieuwe Wegen,OPA,Ondernemers Partij,Partij van de Arbeid,Partij van de Toekomst,Partij van het Noorden,Partij voor Europese Politiek,Partij voor Mens en Spirit,Partij voor Nederland,Partij voor de Dieren,Partij voor de Vrijheid,Partij één,Piratenpartij,Prov@i-b,Respect.Nu,Socialistische Partij,Soeverein Onafhankelijke Pioniers Nederland,Solidara,Staatkundig Gereformeerde Partij,StemNL,Trots op Nederland,Verenigde Senioren Partij,Vereniging LEF,Volkspartij voor Vrijheid en Democratie,VoorNederland,Vooruitstrevende Integratie Partij-Ouderen Unie,Vrede en Recht,Vrije Indische Partij-Ouderen Unie,Vrijzinnige Partij,dNU,cbs_gemeentecode,cbs_gemeente,verkiezing,cbs_wijkcode,stemburo,partij,aantal_stemmen
0307010000380440,14.0,,8.0,,,38.0,,,,2.0,,,5.0,23.0,46.333333333333336,51.333333333333336,,,159.5,1.0,,,85.33333333333333,,,,,,,,9.0,0.0,59.0,,,,,1.5,,,,,,,0.0,1.0,,,,,,,1.0,,,,,,,0.0,,,,1.0,,2.0,47.333333333333336,,,,,,27.5,63.5,,3.0,0.0,,71.33333333333333,,,8.666666666666666,0.0,,,,53.333333333333336,1.0,,2.0,,0.5,,GM0307,Amersfoort,GR2018,WK030707,De Schaapskooi,Actief,1898
0307010000380500,18.0,,,,,,,,1.0,,,,,95.0,48.5,37.0,,,,,,,41.25,,0.0,,,,,,,,43.75,,5.0,,,,,,,,3.0,0.0,,0.0,,,3.0,,,,,1.0,,1.0,,,,,2.0,,2.0,,,,127.0,1.0,,,3.0,,16.0,56.0,6.0,5.5,,,66.25,3.0,,5.0,,7.0,,7.0,85.25,,,,,,,GM0307,Amersfoort,GR2010,WK030708,Schoolgebouw De Tafelronde,Burger Partij Amersfoort,2224
0307010000381346,6.666666666666667,1.0,13.0,,,56.5,23.0,3.0,,0.0,8.0,1.0,3.0,52.0,64.4,57.75,42.0,,10.5,1.0,,2.0,197.6,,,0.0,,,,,20.0,1.0,104.0,,,0.0,,0.6666666666666666,,,,,,2.0,3.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,2.0,16.0,0.0,83.8,,,,,,21.333333333333332,59.333333333333336,,2.5,3.0,,69.8,,,4.0,0.0,,,,148.8,1.0,,3.0,,0.0,,GM0307,Amersfoort,EP2014,WK030721,Schoolgebouw De Meander,50PLUS,4240
0307010000381743,7.0,1.0,5.0,,,41.0,13.0,1.0,0.0,1.0,1.0,1.0,2.0,53.0,80.44444444444444,55.75,67.0,,27.0,0.0,,1.0,140.55555555555554,,0.0,0.0,,,,,23.0,1.0,32.44444444444444,,5.0,0.0,,1.3333333333333333,,,,,0.0,0.0,1.0,0.5,,,2.0,,,,0.0,1.0,,1.0,,,,0.0,2.0,,0.0,8.0,4.0,1.0,57.77777777777778,0.0,,,2.5,,16.0,55.0,6.0,7.0,2.0,,36.888888888888886,0.0,,12.0,0.0,4.5,,7.0,214.22222222222223,7.0,,1.0,,0.5,,GM0307,Amersfoort,EP2014,WK030726,Sporthal De Dissel,50PLUS,6548
0307010000389724,25.4,0.0,15.0,2.0,0.0,41.0,28.0,0.0,0.0,2.0,3.0,9.0,4.0,73.4,99.875,56.285714285714285,40.5,0.0,20.0,0.0,1.0,2.0,115.93333333333334,0.0,0.0,0.0,46.0,,,5.0,19.0,1.0,137.9375,27.0,5.0,0.0,2.0,0.6666666666666666,67.0,60.0,2.0,9.0,1.0,1.0,0.0,0.5,,0.0,0.0,50.5,1.0,7.0,2.0,7.0,1.0,1.0,0.0,0.0,,1.0,2.0,0.0,3.0,1.0,27.0,1.0,161.8125,1.6666666666666667,1.0,,5.5,0.0,40.6,68.28571428571429,6.0,5.5,3.0,0.0,122.9375,2.0,,17.545454545454547,0.0,9.0,2.0,7.0,116.3125,0.0,0.0,5.0,0.0,1.5,3.0,GM0307,Amersfoort,EP2004,WK030717,Sporthal Juliana van Stolberg,Christen Democratisch Appél,15208
0307010000390108,0.0,0.0,,,,4.0,11.0,0.0,,,0.0,20.0,,31.0,13.0,38.0,0.0,,,,,0.0,27.0,,,0.0,,,,,,,8.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.0,,23.0,,,,,,0.0,0.0,,0.0,,,39.0,,,,,,,,13.0,,,,,,,GM0307,Amersfoort,EP2014,WK030708,Gymzaal Koning Arthurpad,50PLUS,374
0307010000392847,21.8,2.0,16.0,0.0,0.0,45.5,24.0,3.0,0.0,0.0,2.0,6.0,4.0,106.8,131.125,94.71428571428571,77.5,0.0,31.0,4.0,1.0,3.0,75.53333333333333,1.0,0.0,1.0,61.0,,,8.0,18.0,1.0,111.3125,42.0,5.0,0.0,4.0,1.6666666666666667,91.0,115.0,0.0,14.5,1.0,0.0,0.0,0.0,,0.0,2.0,71.25,0.0,26.0,2.0,16.0,0.0,0.0,1.0,0.0,,1.0,2.0,3.0,2.3333333333333335,3.0,31.0,3.0,200.0,0.6666666666666666,0.0,,4.0,1.0,29.1,70.28571428571429,6.0,6.0,3.0,0.0,116.125,4.0,,13.636363636363637,0.0,14.5,4.0,7.0,127.0,1.0,0.0,7.0,2.0,0.0,7.0,GM0307,Amersfoort,EP2004,WK030709,Schoolgebouw De Weesboom,Christen Democratisch Appél,16266
0307010000393097,7.5,,,,0.0,,,,0.0,,,,,71.0,141.85714285714286,48.714285714285715,,,,,0.0,,72.42857142857143,,0.0,,,,,,,,52.285714285714285,48.0,5.0,,,,,138.0,,11.0,3.0,0.0,,1.0,,,2.0,115.5,0.0,40.0,,1.0,1.0,1.0,,0.0,,,2.0,,0.0,,,,164.85714285714286,0.3333333333333333,,,4.5,,11.5,46.0,6.0,7.0,,,50.142857142857146,2.0,,5.5,,6.0,0.0,7.0,252.57142857142858,,0.0,,3.0,,5.0,GM0307,Amersfoort,GR2002,WK030724,Schoolgebouw De Border,Burger Partij Amersfoort,6409
0307010000396441,22.2,1.0,12.0,1.0,0.0,72.0,27.0,1.0,0.0,2.0,7.0,4.0,2.0,113.8,177.4375,88.85714285714286,73.0,0.0,17.5,1.0,0.0,1.0,124.2,0.0,0.0,4.0,57.0,,,5.0,32.0,0.0,88.5,76.0,5.0,0.0,0.0,1.0,107.0,107.0,2.0,20.5,1.0,0.3333333333333333,1.0,0.0,,0.0,5.0,69.25,2.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,4.0,32.0,2.0,215.25,1.6666666666666667,0.0,,2.5,1.0,28.2,86.42857142857143,6.0,5.5,7.0,2.0,103.875,1.0,,8.363636363636363,0.0,14.0,6.0,7.0,227.625,12.0,0.0,7.0,0.0,0.5,7.0,GM0307,Amersfoort,EP2004,WK030721,Kerkgebouw Het Brandpunt,Christen Democratisch Appél,19080
0307010000403386,9.6,0.0,4.0,,,32.0,11.0,0.0,0.0,1.0,2.0,4.0,2.0,47.333333333333336,39.333333333333336,44.875,50.0,,17.0,1.0,,0.0,58.888888888888886,,1.0,2.0,,,,,10.0,0.0,47.55555555555556,,5.0,1.0,,0.0,,,,,1.0,1.0,2.0,0.0,,,0.0,,,,1.0,0.0,,0.0,,,,0.0,2.0,,0.0,7.0,7.0,1.0,65.77777777777777,0.0,,,2.5,,15.333333333333334,48.0,6.0,4.0,1.0,,56.111111111111114,2.0,,5.833333333333333,0.0,8.0,,7.0,66.77777777777777,4.0,,4.0,,1.0,,GM0307,Amersfoort,EP2014,WK030709,Schoolgebouw De Drieslag,50PLUS,4252
